VERSIE,DATUM_BESTAND,PEILDATUM,DIAGNOSE_CD,SPECIALISME_CD,DIAGNOSE_OMSCHRIJVING
1.0,2017-04-18,2017-04-01,2705,0308,Wervelkolom: plaatsen of revisie electrostimulator of pompsysteem
1.0,2017-04-18,2017-04-01,333,0335,Loopstoornis
1.0,2017-04-18,2017-04-01,112,0361,Diagnostiek nog in gang
1.0,2017-04-18,2017-04-01,71,0302,"Sialoadenosen, sialoadenitis"
1.0,2017-04-18,2017-04-01,82,0302,Zwelling in de hals diagnostiek
1.0,2017-04-18,2017-04-01,13,0329,Slaapstoornissen
1.0,2017-04-18,2017-04-01,061,0313,oesophago-gastro-duodenoscopie op verzoek derden
1.0,2017-04-18,2017-04-01,1021,0330,"Gehoorsstoornissen, tinnitus"
1.0,2017-04-18,2017-04-01,13,1900,Overig
1.0,2017-04-18,2017-04-01,720,0318,levertransplantatie (donor)
1.0,2017-04-18,2017-04-01,F31,0327,Longaandoening klasse 1
1.0,2017-04-18,2017-04-01,1203,0330,Radiculair syndroom / HNP lumbaal-thoracaal
1.0,2017-04-18,2017-04-01,1104,0316,infectieproblematiek moeder
1.0,2017-04-18,2017-04-01,026,0306,UVJ (UreteroVesical Junction) stenose
1.0,2017-04-18,2017-04-01,754,0313,Multipel myeloom/primaire amyloïdose
1.0,2017-04-18,2017-04-01,221,0313,Diabetes mellitus zonder secundaire complicaties
1.0,2017-04-18,2017-04-01,173,0304,"Palatorafia anterior, of posterior of totalis"
1.0,2017-04-18,2017-04-01,187,0304,Monoblok osteotomie of mediane faciotomie
1.0,2017-04-18,2017-04-01,453,0313,Infectieuze artritis
1.0,2017-04-18,2017-04-01,0301,0330,Vitamine-deficiënties
1.0,2017-04-18,2017-04-01,3313,0316,Icterus (zuigeling)
1.0,2017-04-18,2017-04-01,1059,0305,Ehlers Danlos
1.0,2017-04-18,2017-04-01,3322,0316,Peuterdiarree
1.0,2017-04-18,2017-04-01,222,0304,Inbrengen tissue expander enkelzijdig + insuflaties
1.0,2017-04-18,2017-04-01,5005,0316,Reactieve artritis
1.0,2017-04-18,2017-04-01,154,0301,Amblyopie
1.0,2017-04-18,2017-04-01,355,0362,Arm skelet
1.0,2017-04-18,2017-04-01,612,0313,allergische reactie op insecten
1.0,2017-04-18,2017-04-01,921,0313,Lactose intolerantie
1.0,2017-04-18,2017-04-01,07,0329,Angststoornissen
1.0,2017-04-18,2017-04-01,103,0318,sigmoïdoscopie
1.0,2017-04-18,2017-04-01,2030,0305,Platvoet/spreidvoet/metatarsalgie
1.0,2017-04-18,2017-04-01,115,0306,Overige congenitale pathologie vrouwelijke geslachtsorganen
1.0,2017-04-18,2017-04-01,401,8418,Amputaties bovenbeen (en hoger)
1.0,2017-04-18,2017-04-01,424,0303,Chronische veneuze insufficiëntie / post-trombotisch syndroom
1.0,2017-04-18,2017-04-01,078,0313,Nier- en pancreastransplantatietraject ontvanger
1.0,2017-04-18,2017-04-01,Z40,0307,Overige begeleiding graviditeit in tweede lijn
1.0,2017-04-18,2017-04-01,827,0303,Malrotatie darm
1.0,2017-04-18,2017-04-01,2201,0316,temperatuurregulatie
1.0,2017-04-18,2017-04-01,111,0304,"Implantatie kunststof, dermis, fascie, klein gebied"
1.0,2017-04-18,2017-04-01,0799,0330,Overige hoofdpijn
1.0,2017-04-18,2017-04-01,0911,0330,Myasthenia gravis en myasthene syndromen
1.0,2017-04-18,2017-04-01,2352,0316,"huid en buikwand, ernstig"
1.0,2017-04-18,2017-04-01,3105,0316,Laryngitis subglottica
1.0,2017-04-18,2017-04-01,369,0303,Ontwikkelingscyste ovarium
1.0,2017-04-18,2017-04-01,1230,0328,VATS (diagnostisch)
1.0,2017-04-18,2017-04-01,16,0329,Persoonlijkheidsstoornissen (As II)
1.0,2017-04-18,2017-04-01,3302,0305,Multiple
1.0,2017-04-18,2017-04-01,963,0313,Chronische pancreatitis
1.0,2017-04-18,2017-04-01,1299,0316,overige intra-uteriene groeiproblemen
1.0,2017-04-18,2017-04-01,761,0313,Acute myeloïde leukemie/RAEB-t
1.0,2017-04-18,2017-04-01,334,0304,Pully reconstructie
1.0,2017-04-18,2017-04-01,417,0303,Arteriële embolie en trombose (zie ook 336)
1.0,2017-04-18,2017-04-01,7811,0316,VZV-infecties
1.0,2017-04-18,2017-04-01,807,0320,Follow-up na operatie congenitale hart(vaat)afwijking
1.0,2017-04-18,2017-04-01,1063,0305,Cleidocraniale dysostosis
1.0,2017-04-18,2017-04-01,2475,0328,Linkerventrikel plastiek + AVR/MVR
1.0,2017-04-18,2017-04-01,851,0303,Persisterend Mullerian Duct Syndroom (PMDS)
1.0,2017-04-18,2017-04-01,479,0313,overige schimmelziekten nno
1.0,2017-04-18,2017-04-01,501,0313,Sarcoïdose
1.0,2017-04-18,2017-04-01,1562,0305,Congenitale ulnadysplasie
1.0,2017-04-18,2017-04-01,832,0313,Maligniteit prostaat
1.0,2017-04-18,2017-04-01,2560,0328,CABG (1art.) + AVR + MVR
1.0,2017-04-18,2017-04-01,2580,0328,AVR + HOCM
1.0,2017-04-18,2017-04-01,3323,0316,Pylorus-hypertrofie / -stenose
1.0,2017-04-18,2017-04-01,515,0313,Bechterew
1.0,2017-04-18,2017-04-01,01,0310,Acneïforme dermatosen
1.0,2017-04-18,2017-04-01,10,0310,Geneesmiddeleneruptie
1.0,2017-04-18,2017-04-01,5003,0316,JCA / JIA
1.0,2017-04-18,2017-04-01,0621,0330,(vasovagale)Collaps
1.0,2017-04-18,2017-04-01,1481,0305,Sprengelse deformiteit
1.0,2017-04-18,2017-04-01,1485,0305,Verworven stand- en lengteafwijking schoudergordel/bovenarm
1.0,2017-04-18,2017-04-01,D23,0327,NMA klasse 3
1.0,2017-04-18,2017-04-01,361,0303,Benigne neoplasma skelet
1.0,2017-04-18,2017-04-01,00,0306,Traject
1.0,2017-04-18,2017-04-01,1751,0305,Congenitale heupdysplasie/luxatie
1.0,2017-04-18,2017-04-01,A63,0327,Aandoening WK klasse 3
1.0,2017-04-18,2017-04-01,1399,0305,N.n.o. thoracale/lumbale wervelkolom
1.0,2017-04-18,2017-04-01,313,0324,Sarcoïdose
1.0,2017-04-18,2017-04-01,1704,0305,Avasculaire necrose bekken/heup/bovenbeen
1.0,2017-04-18,2017-04-01,7902,0316,Darmtransplantatietraject donor
1.0,2017-04-18,2017-04-01,557,0303,Niertransplantatietraject ontvanger
1.0,2017-04-18,2017-04-01,704,0303,Brandwonden in gespecialiseerd brandwondencentrum met 30-39 % lichaamsoppervlak aangedaan
1.0,2017-04-18,2017-04-01,119,0318,percutane levertumorbehandeling
1.0,2017-04-18,2017-04-01,121,0318,videocapsule endoscopie
1.0,2017-04-18,2017-04-01,204,0318,Chronische buikpijn
1.0,2017-04-18,2017-04-01,0000,0330,Traject
1.0,2017-04-18,2017-04-01,135,0304,Inbrengen goudgewicht
1.0,2017-04-18,2017-04-01,151,0304,Correctie weke delen kraakbenig skelet
1.0,2017-04-18,2017-04-01,304,0318,Achalasie
1.0,2017-04-18,2017-04-01,166,0362,Arteria mesenterica superior
